time,open,high,low,close,tick_volume,spread,real_volume
2021-09-01 00:00:00,109.989,110.0,109.986,110.0,92,22,0
2021-09-01 00:30:00,110.0,110.004,109.984,109.984,469,12,0
2021-09-01 01:00:00,109.984,109.998,109.981,109.991,408,2,0
2021-09-01 01:30:00,109.992,109.992,109.985,109.989,110,2,0
2021-09-01 02:00:00,109.986,110.004,109.986,110.001,168,1,0
2021-09-01 02:30:00,110.001,110.065,109.984,110.057,359,1,0
2021-09-01 03:00:00,110.056,110.145,110.051,110.14,1007,0,0
2021-09-01 03:30:00,110.141,110.202,110.128,110.181,1139,0,0
2021-09-01 04:00:00,110.18,110.236,110.17,110.212,1072,0,0
2021-09-01 04:30:00,110.212,110.214,110.164,110.203,975,0,0
2021-09-01 05:00:00,110.203,110.236,110.187,110.226,657,1,0
2021-09-01 05:30:00,110.226,110.226,110.2,110.217,482,1,0
2021-09-01 06:00:00,110.217,110.217,110.176,110.176,578,2,0
2021-09-01 06:30:00,110.176,110.189,110.154,110.177,460,1,0
2021-09-01 07:00:00,110.177,110.2,110.169,110.191,336,2,0
2021-09-01 07:30:00,110.192,110.233,110.19,110.232,336,2,0
2021-09-01 08:00:00,110.232,110.247,110.218,110.243,574,2,0
2021-09-01 08:30:00,110.243,110.255,110.219,110.219,602,1,0
2021-09-01 09:00:00,110.22,110.223,110.166,110.208,931,0,0
2021-09-01 09:30:00,110.207,110.256,110.206,110.214,1030,0,0
2021-09-01 10:00:00,110.214,110.315,110.201,110.273,1305,0,0
2021-09-01 10:30:00,110.274,110.418,110.274,110.399,1583,0,0
2021-09-01 11:00:00,110.399,110.399,110.328,110.343,1099,1,0
2021-09-01 11:30:00,110.344,110.377,110.33,110.371,644,0,0
2021-09-01 12:00:00,110.371,110.371,110.284,110.312,834,0,0
2021-09-01 12:30:00,110.312,110.327,110.279,110.289,826,0,0
2021-09-01 13:00:00,110.289,110.336,110.27,110.325,525,0,0
2021-09-01 13:30:00,110.324,110.328,110.278,110.285,579,0,0
2021-09-01 14:00:00,110.285,110.343,110.281,110.34,666,0,0
2021-09-01 14:30:00,110.34,110.377,110.334,110.369,816,0,0
2021-09-01 15:00:00,110.369,110.388,110.189,110.234,1934,0,0
2021-09-01 15:30:00,110.232,110.237,110.016,110.025,2530,0,0
2021-09-01 16:00:00,110.024,110.048,109.935,109.974,2004,0,0
2021-09-01 16:30:00,109.971,109.991,109.88,109.928,1767,0,0
2021-09-01 17:00:00,109.933,110.127,109.933,110.046,2315,0,0
2021-09-01 17:30:00,110.048,110.07,109.994,110.013,1701,0,0
2021-09-01 18:00:00,110.013,110.06,109.997,110.046,1253,0,0
2021-09-01 18:30:00,110.046,110.067,110.014,110.027,617,0,0
2021-09-01 19:00:00,110.028,110.029,109.97,109.984,545,0,0
2021-09-01 19:30:00,109.984,110.044,109.979,110.039,697,0,0
2021-09-01 20:00:00,110.039,110.054,110.011,110.012,419,2,0
2021-09-01 20:30:00,110.011,110.031,110.009,110.016,414,1,0
2021-09-01 21:00:00,110.014,110.017,109.986,109.996,470,1,0
2021-09-01 21:30:00,109.995,110.001,109.925,109.926,636,1,0
2021-09-01 22:00:00,109.927,109.992,109.927,109.985,434,1,0
2021-09-01 22:30:00,109.985,110.013,109.967,110.011,465,1,0
2021-09-01 23:00:00,110.013,110.059,110.009,110.039,485,1,0
2021-09-01 23:30:00,110.04,110.075,110.002,110.004,423,1,0
2021-09-02 00:00:00,109.976,110.02,109.956,110.017,1121,34,0
