time,open,high,low,close,tick_volume,spread,real_volume
2023-10-02,1847.6,1848.91,1827.11,1827.81,171675,0,0
2023-10-03,1828.6,1833.34,1815.19,1822.66,214554,0,0
2023-10-04,1822.62,1830.56,1816.57,1821.14,208778,0,0
2023-10-05,1820.81,1829.13,1813.02,1820.15,170029,0,0
2023-10-06,1820.15,1834.84,1810.4,1832.7,194707,0,0
2023-10-09,1847.86,1863.48,1843.14,1861.23,155345,0,0
2023-10-10,1861.04,1865.43,1852.99,1860.23,174149,0,0
2023-10-11,1859.72,1877.15,1858.61,1874.2,171586,0,0
2023-10-12,1874.36,1884.97,1867.86,1868.7,167294,0,0
2023-10-13,1868.82,1932.86,1868.46,1932.55,218419,0,0
2023-10-16,1929.18,1929.18,1908.16,1919.95,180125,0,0
2023-10-17,1919.63,1931.56,1912.39,1923.01,161713,0,0
2023-10-18,1922.93,1962.56,1922.85,1947.43,204881,0,0
2023-10-19,1947.15,1977.69,1945.19,1974.23,218095,0,0
2023-10-20,1973.96,1997.13,1971.96,1981.27,230617,0,0
2023-10-23,1965.48,1982.79,1961.08,1972.65,203683,0,0
2023-10-24,1972.55,1980.81,1953.54,1970.8,186103,0,0
2023-10-25,1971.3,1987.27,1963.06,1979.39,178792,0,0
2023-10-26,1979.52,1993.46,1971.85,1984.41,209814,0,0
2023-10-27,1984.43,2009.36,1976.82,2006.19,191391,0,0
2023-10-30,2003.58,2006.73,1990.92,1995.97,186500,0,0
2023-10-31,1995.21,2007.82,1978.8,1983.63,192835,0,0
